Company name ,Codeshare Partner
American Airlines,American Airlines Branded Codeshare Partners
Champlain Air ,American Airlines Branded Codeshare Partners
Envoy Air ,American Airlines Branded Codeshare Partners
ExpressJet Airlines ,American Airlines Branded Codeshare Partners
Mesa Airlines,American Airlines Branded Codeshare Partners
Allegiant Air LLC ,American Airlines Branded Codeshare Partners
Piedmont Airlines ,American Airlines Branded Codeshare Partners
Penair ,American Airlines Branded Codeshare Partners
PSA Airlines,American Airlines Branded Codeshare Partners
Jetstream Intl ,American Airlines Branded Codeshare Partners
Jetblue Airways Corporation ,American Airlines Branded Codeshare Partners
"Mesa Airlines, Inc. ",American Airlines Branded Codeshare Partners
Republic Airlines ,American Airlines Branded Codeshare Partners
"Spirit Airlines, Inc. ",American Airlines Branded Codeshare Partners
Southwest Airlines ,American Airlines Branded Codeshare Partners
Skywest Airlines ,American Airlines Branded Codeshare Partners
Trans State ,American Airlines Branded Codeshare Partners
Alaska Airlines,Alaska Airlines Branded Codeshare Partners
Horizon Air ,Alaska Airlines Branded Codeshare Partners
Peninsula Airways,Alaska Airlines Branded Codeshare Partners
SkyWest Airlines,Alaska Airlines Branded Codeshare Partners
"Delta Air Lines, Inc. ",Delta Air Lines Branded Codeshare Partners
Compass Airlines ,Delta Air Lines Branded Codeshare Partners
Endeavor Air ,Delta Air Lines Branded Codeshare Partners
ExpressJet Airlines,Delta Air Lines Branded Codeshare Partners
GoJet Airlines,Delta Air Lines Branded Codeshare Partners
Republic Airline,Delta Air Lines Branded Codeshare Partners
SkyWest Airlines,Delta Air Lines Branded Codeshare Partners
Hawaiian Airlines Inc. ,Hawaiian Airlines Branded Codeshare Partners
Empire Airline ,Hawaiian Airlines Branded Codeshare Partners
"United Airlines, Inc. ",United Airlines Branded Codeshare Partners
Air Wisconsin,United Airlines Branded Codeshare Partners
"Frontier Airlines, Inc. ",United Airlines Branded Codeshare Partners
GoJet Airlines ,United Airlines Branded Codeshare Partners
Mesa Airlines,United Airlines Branded Codeshare Partners
Republic Airline,United Airlines Branded Codeshare Partners
SkyWest Airlines,United Airlines Branded Codeshare Partners
